name,link,Default Branch,SHA,Stargazers Count,Forks Count,Maven,Gradle,Travis CI,Github Actions,Maven Jacoco, Maven Cobertura,Maven Javadoc,Gradle Jacoco,Gradle Cobertura,Gradle Javadoc,Travis Codecov,Travis Coveralls,Travis Codacy,Travis Jacoco, Travis Cobertura,Travis Javadoc,GA Codecov,GA Coveralls,GA Codacy,GA Jacoco, GA Cobertura,GA Javadoc
federicoiosue/Omni-Notes,https://github.com/federicoiosue/Omni-Notes,develop,623991832e7ed3e4fe206892f28d1f1531bcc974,2425,1052,,build.gradle;omniNotes/build.gradle;settings.gradle;,,.github/workflows/codeql-analysis.yml;.github/workflows/main.yml;,,,,build.gradle;omniNotes/build.gradle;,,,,,,,,,,,,.github/workflows/main.yml;,,
googlemaps/android-maps-utils,https://github.com/googlemaps/android-maps-utils,main,f0634a69d2af575c78bc1a637c95697641d90bdd,3374,1528,,build.gradle;demo/build.gradle;library-v3/build.gradle;library/build.gradle;lint-checks/build.gradle;settings.gradle;,,.github/workflows/dependabot.yml;.github/workflows/release.yml;.github/workflows/test.yml;,,,,build.gradle;,,build.gradle;,,,,,,,,,,.github/workflows/test.yml;,,
