Name,Link,Default Branch,SHA,Stargazers Count,Forks Count,Date
LandmakTechnology/java-web-app,https://github.com/LandmakTechnology/java-web-app,master,9740d4f612e862e348cf35725602f0cb83696a0d,2,551,29/06/2022 15:03:07
AweiLoveAndroid/CommonDevKnowledge,https://github.com/AweiLoveAndroid/CommonDevKnowledge,master,9fa7eaae902caa07e374b749cd9176a9b7b9a87f,2837,554,29/06/2022 15:01:45
apache/sqoop,https://github.com/apache/sqoop,trunk,f8beae32a067d72bf9ed6e903b041ad347ca5491,900,555,29/06/2022 15:03:03
Teradata/kylo,https://github.com/Teradata/kylo,master,0ca8cf21e6020ea1fbca51d5da7eead5b2c4827c,1001,556,29/06/2022 15:03:09
wosyingjun/beauty_ssm_dubbo,https://github.com/wosyingjun/beauty_ssm_dubbo,master,d2717650c0441b17ed0e0017bcd752f0c134b801,831,557,29/06/2022 15:00:45
WorkflowSim/WorkflowSim-1.0,https://github.com/WorkflowSim/WorkflowSim-1.0,master,d3ea21afd8ce6479bd292d3bd7469045d7a36089,108,557,29/06/2022 15:03:09
fsteeg/egit-github,https://github.com/fsteeg/egit-github,master,939031cb56d2dab5ef9ce0211de0c5524cbade27,2,558,29/06/2022 15:00:45
CarpenterLee/JavaLambdaInternals,https://github.com/CarpenterLee/JavaLambdaInternals,master,06031ebd7bff805d228b48849b77f1c221851298,1809,558,29/06/2022 15:03:09
ittianyu/BottomNavigationViewEx,https://github.com/ittianyu/BottomNavigationViewEx,master,4645b0f11d596748a95ccce90c46f291ec5c9ea4,3313,559,29/06/2022 15:01:45
Beerkay/JavaMultiThreading,https://github.com/Beerkay/JavaMultiThreading,master,2dac69bb8e2706d60711b1b65a12437190e18c31,552,560,29/06/2022 15:01:45
EddyVerbruggen/cordova-plugin-googleplus,https://github.com/EddyVerbruggen/cordova-plugin-googleplus,master,dd5f7921c9bd3b348717ceda66895fac4a3ebcf1,565,560,29/06/2022 15:01:45
menacher/java-game-server,https://github.com/menacher/java-game-server,master,235a2970a095c787b8f2771cdfd1ca25a8e85512,1229,560,29/06/2022 15:03:00
gabrielemariotti/androiddev,https://github.com/gabrielemariotti/androiddev,master,617049b282166090ae848d5379aa0c3ee9b1679a,809,561,29/06/2022 15:00:45
vavr-io/vavr,https://github.com/vavr-io/vavr,master,48a3193bc0b33f12345c20b0b11f879ecb2b0aec,4876,561,29/06/2022 15:00:45
romainpiel/Titanic,https://github.com/romainpiel/Titanic,master,b4d0dc4a8f982fecfec3f6fd0bfb1af59356ff50,1821,561,29/06/2022 15:01:45
apache/ofbiz,https://github.com/apache/ofbiz,trunk,3f276d51e233005ae8ea19d11528ff65cbd3e0c3,740,561,29/06/2022 15:01:45
kiegroup/droolsjbpm-integration,https://github.com/kiegroup/droolsjbpm-integration,main,00d341951b1449f76f4603f4affb2d66bd30e647,247,562,29/06/2022 15:01:45
SmartBear/soapui,https://github.com/SmartBear/soapui,next,222105defa40f37c4f5789261d853a96b174dfc2,1278,562,29/06/2022 15:03:00
pluralsight-projects/java-spring-rest-blog,https://github.com/pluralsight-projects/java-spring-rest-blog,master,9e88d17a318a85b036a60556892c6bde592df163,6,563,29/06/2022 15:02:58
