link,Maven,Gradle,Travis CI,Github Actions,Maven Jacoco, Maven Cobertura,Maven Javadoc,Gradle Jacoco,Gradle Cobertura,Gradle Javadoc,Travis Codecov,Travis Jacoco, Travis Cobertura,Travis Javadoc,GA Codecov,GA Jacoco, GA Cobertura,GA Javadoc
https://github.com/I00I/push-notifications-sdk,,,,,,,,,,,,,,,,,,
https://github.com/googlearchive/android-PictureInPicture,,app/build.gradle;build.gradle;kotlinApp/app/build.gradle;kotlinApp/build.gradle;kotlinApp/settings.gradle;settings.gradle;,,,,,,,,,,,,,,,,
https://github.com/chiclaim/AndroidAll,,android-archietecture/jetpack/jetpack-sample/app/build.gradle;android-archietecture/jetpack/jetpack-sample/build.gradle;android-archietecture/jetpack/jetpack-sample/settings.gradle;android-base/Gist/app/build.gradle;android-base/Gist/build.gradle;android-base/Gist/settings.gradle;android-base/NotificationDemo/build.gradle;android-base/ProguardDemo/app/build.gradle;android-base/ProguardDemo/build.gradle;android-base/ProguardDemo/settings.gradle;android-base/ViewBindingDemo/app/build.gradle;android-base/ViewBindingDemo/build.gradle;android-base/ViewBindingDemo/settings.gradle;android-custom-view/CustomViewCourse/app/build.gradle;android-custom-view/CustomViewCourse/build.gradle;android-custom-view/CustomViewCourse/settings.gradle;android-custom-view/RecyclerViewCourse/app/build.gradle;android-custom-view/RecyclerViewCourse/build.gradle;android-custom-view/RecyclerViewCourse/settings.gradle;android-fragment/fragment/build.gradle;android-framework/layout-inflater/build.gradle;android-gradle/app/build.gradle;android-gradle/build.gradle;android-gradle/hello.gradle;android-gradle/settings.gradle;android-ipc/app/build.gradle;android-ipc/build.gradle;android-ipc/settings.gradle;android-lib-butterknife/create-butterknife/annotation/build.gradle;android-lib-butterknife/create-butterknife/app/build.gradle;android-lib-butterknife/create-butterknife/build.gradle;android-lib-butterknife/create-butterknife/butterknife/build.gradle;android-lib-butterknife/create-butterknife/processor/build.gradle;android-lib-butterknife/create-butterknife/settings.gradle;android-lib-dagger2/dagger2-sample/app/build.gradle;android-lib-dagger2/dagger2-sample/build.gradle;android-lib-dagger2/dagger2-sample/settings.gradle;android-lib-retrofit/retrofit-sample/app/build.gradle;android-lib-retrofit/retrofit-sample/build.gradle;android-lib-retrofit/retrofit-sample/settings.gradle;android-lib-rxjava/rxjava-usecase/app/build.gradle;android-lib-rxjava/rxjava-usecase/build.gradle;android-lib-rxjava/rxjava-usecase/settings.gradle;android-ndk/AndroidNativeDemo/app/build.gradle;android-ndk/AndroidNativeDemo/build.gradle;android-ndk/AndroidNativeDemo/settings.gradle;android-optimization/app/build.gradle;android-optimization/build.gradle;android-optimization/settings.gradle;cross-platform-flutter/android_add_flutter/AndroidForFlutter/app/build.gradle;cross-platform-flutter/android_add_flutter/AndroidForFlutter/build.gradle;cross-platform-flutter/android_add_flutter/AndroidForFlutter/settings.gradle;cross-platform-flutter/flutter_app/android/app/build.gradle;cross-platform-flutter/flutter_app/android/build.gradle;cross-platform-flutter/flutter_app/android/settings.gradle;cross-platform-flutter/flutter_app_demo/android/app/build.gradle;cross-platform-flutter/flutter_app_demo/android/build.gradle;cross-platform-flutter/flutter_app_demo/android/settings.gradle;cross-platform-h5/android-h5-file-upload/app/build.gradle;cross-platform-h5/android-h5-file-upload/build.gradle;cross-platform-h5/android-h5-file-upload/settings.gradle;cross-platform-h5/android-interact-js/build.gradle;language-kotlin/kotlin-sample/coroutine-in-action/build.gradle;language-kotlin/kotlin-sample/coroutine-in-action/settings.gradle;language-kotlin/kotlin_coroutine/build.gradle;,,,,,,,,,,,,,,,,
https://github.com/polinema-mobile/2019-mobile02,,AndroidLifecycle/app/build.gradle;AndroidLifecycle/build.gradle;AndroidLifecycle/settings.gradle;TebakAngka/app/build.gradle;TebakAngka/build.gradle;TebakAngka/settings.gradle;,,,,,,,,,,,,,,,,
https://github.com/LuckyJayce/MVCHelper,,app/build.gradle;build.gradle;buildsystem/config.gradle;buildsystem/library.gradle;mvccoolhelper/build.gradle;mvchelper_library/build.gradle;mvcpullrefshhelper/build.gradle;mvcswiperefreshhelper/build.gradle;mvcultrahelper/build.gradle;settings.gradle;,,,,,,,,build.gradle;,,,,,,,,
https://github.com/DependencyTrack/dependency-track,pom.xml;,,,.github/workflows/_meta-build.yaml;.github/workflows/ci-build.yaml;.github/workflows/ci-publish.yaml;.github/workflows/ci-release.yaml;.github/workflows/ci-test.yaml;.github/workflows/dependency-review.yaml;.github/workflows/lock.yaml;,,,,,,,,,,,,.github/workflows/ci-test.yaml;,,
https://github.com/v5developer/maven-framework-project,aimeizi-tutorials/pom.xml;cas-shiro-demo/cas-shiro-demo-app/pom.xml;cas-shiro-demo/cas-shiro-demo-server/pom.xml;cas-shiro-demo/pom.xml;commons-dbutils-tutorial/pom.xml;cxf-rest-ws/pom.xml;cxf-soap-ws/pom.xml;flex-todolist-example/flex-todolist-config-example/pom.xml;flex-todolist-example/flex-todolist-ria-example/pom.xml;flex-todolist-example/flex-todolist-web-example/pom.xml;flex-todolist-example/pom.xml;flyway-example/flyway-ant-example/pom.xml;flyway-example/flyway-java-example/pom.xml;flyway-example/flyway-maven-example/pom.xml;flyway-example/pom.xml;helloworld-osgi-example/pom.xml;hibernate-search-by-example/chapter1/pom.xml;hibernate-search-by-example/chapter2-mapping/pom.xml;hibernate-search-by-example/chapter2-xml/pom.xml;hibernate-search-by-example/chapter2/pom.xml;hibernate-search-by-example/chapter3-entitymanager/pom.xml;hibernate-search-by-example/chapter3/pom.xml;hibernate-search-by-example/chapter4/pom.xml;hibernate-search-by-example/chapter5/pom.xml;hibernate-search-by-example/chapter6/pom.xml;hibernate-search-by-example/chapter7/pom.xml;hibernate-search-example/hibernate-example/pom.xml;hibernate-search-example/hibernate-search-hibernate/pom.xml;hibernate-search-example/hibernate-search-jpa/pom.xml;hibernate-search-example/pom.xml;hibernate-tutorials/hibernate-helloworld-annotation-example/pom.xml;hibernate-tutorials/hibernate-helloworld-xml-example/pom.xml;hibernate-tutorials/hibernate-inheritance-table-per-concrete-class-annotation-example/pom.xml;hibernate-tutorials/hibernate-inheritance-table-per-concrete-class-xml-example/pom.xml;hibernate-tutorials/hibernate-inheritance-table-per-heirarchy-annotation-example/pom.xml;hibernate-tutorials/hibernate-inheritance-table-per-heirarchy-xml-example/pom.xml;hibernate-tutorials/hibernate-inheritance-table-per-subclass-annotation-example/pom.xml;hibernate-tutorials/hibernate-inheritance-table-per-subclass-xml-example/pom.xml;hibernate-tutorials/hibernate-many2many-annotation-example/pom.xml;hibernate-tutorials/hibernate-many2many-xml-example/pom.xml;hibernate-tutorials/hibernate-one2many-annotation-example/hibernate-one2many-annotationlist-example/pom.xml;hibernate-tutorials/hibernate-one2many-annotation-example/hibernate-one2many-annotationset-example/pom.xml;hibernate-tutorials/hibernate-one2many-annotation-example/pom.xml;hibernate-tutorials/hibernate-one2many-xml-example/hibernate-one2many-array-example/pom.xml;hibernate-tutorials/hibernate-one2many-xml-example/hibernate-one2many-bag-example/pom.xml;hibernate-tutorials/hibernate-one2many-xml-example/hibernate-one2many-list-example/pom.xml;hibernate-tutorials/hibernate-one2many-xml-example/hibernate-one2many-set-example/pom.xml;hibernate-tutorials/hibernate-one2many-xml-example/pom.xml;hibernate-tutorials/hibernate-one2one-annotation-example/pom.xml;hibernate-tutorials/hibernate-one2one-xml-example/pom.xml;hibernate-tutorials/hibernate-self-many2many-annotation-example/pom.xml;hibernate-tutorials/hibernate-self-one2many-annotation-example/pom.xml;hibernate-tutorials/pom.xml;jaxws-with-spring/pom.xml;jersey-jaxb-ws-example/pom.xml;jersey-restful-ws-example/pom.xml;json-tutorials/json-fastjson-example/pom.xml;json-tutorials/json-gson-example/pom.xml;json-tutorials/json-jackson-example/pom.xml;json-tutorials/json-json-simple-example/pom.xml;json-tutorials/pom.xml;maven-osgi-example/pom.xml;mvn-project-demo/pom.xml;mvn-project-demo/user-dao/pom.xml;mvn-project-demo/user-model/pom.xml;mvn-project-demo/user-service/pom.xml;mvn-project-demo/user-web/pom.xml;mybatis-spring/pom.xml;pom.xml;resteasy-ws-example/pom.xml;restful-javapatterns-and-bestpractices/Chapter01/helloworld/pom.xml;restful-javapatterns-and-bestpractices/Chapter02/entities/pom.xml;restful-javapatterns-and-bestpractices/Chapter03/exception-mapper/pom.xml;restful-javapatterns-and-bestpractices/Chapter03/jax-rs-bean-validation/pom.xml;restful-javapatterns-and-bestpractices/Chapter04/caching/pom.xml;restful-javapatterns-and-bestpractices/Chapter05/pagination/pom.xml;restful-javapatterns-and-bestpractices/Chapter05/ratelimiting/pom.xml;restful-javawebservices-security/chapter01/resteasy-examples/pom.xml;restful-javawebservices-security/chapter02/basic-authentication/resteasy-examples/pom.xml;restful-javawebservices-security/chapter02/client-cert-authentication/resteasy-examples/pom.xml;restful-javawebservices-security/chapter02/digest-authentication/resteasy-examples/pom.xml;restful-javawebservices-security/chapter03/annotations/resteasy-examples/pom.xml;restful-javawebservices-security/chapter03/resteasy-examples/pom.xml;restful-javawebservices-security/chapter04/CustomInterceptorsDemo/pom.xml;restful-javawebservices-security/chapter04/OAuthExample/discstore/pom.xml;restful-javawebservices-security/chapter04/OAuthExample/oauth-client/pom.xml;restful-javawebservices-security/chapter04/OAuthExample/oauth-server/pom.xml;restful-javawebservices-security/chapter04/token-grant/pom.xml;restful-javawebservices-security/chapter05/encryption/pom.xml;restful-javawebservices-security/chapter05/signatures/pom.xml;simple-osgi-webapp/pom.xml;simple-osgi-webapp/simple-osgi-bundle/pom.xml;simple-osgi-webapp/simple-osgi-servlet/pom.xml;spring-boot-example/pom.xml;spring-boot-helloworld/pom.xml;spring-cache-example/pom.xml;spring-data-example/pom.xml;spring-data-jpa-example/pom.xml;spring-example-mongodb/pom.xml;spring-flex-testdrive/pom.xml;spring-ibatis-example/pom.xml;spring-jdbc-tutorials/pom.xml;spring-mongodb-tutorial/pom.xml;spring-redis-tutorial/pom.xml;spring-security-demo/pom.xml;spring-security-examples/cas-server-with-ldap/pom.xml;spring-security-examples/spring-security-cas/pom.xml;spring-security-examples/spring-security-db/pom.xml;spring-security-examples/spring-security-ldap/pom.xml;spring-security-examples/spring-security-methodlevel-security/pom.xml;spring-security-tutorial/pom.xml;spring3-helloworld-example/pom.xml;spring3-javaconfig-example/pom.xml;spring3-javaconfig-import-example/pom.xml;spring3-jersey-restfull-example/pom.xml;spring3-jmx-example/pom.xml;spring3-mvc-simple/pom.xml;spring3-rest-example/pom.xml;spring3-rmi-example/pom.xml;spring3-rmi-httpinvoker-example/pom.xml;spring3-security-example/pom.xml;spring3-testng-example/pom.xml;spring4-hibernate4-example/pom.xml;springmvc-beginners-guide/Chapter 1/webstore/pom.xml;springmvc-beginners-guide/Chapter 10/webstore/pom.xml;springmvc-beginners-guide/Chapter 2/webstore/pom.xml;springmvc-beginners-guide/Chapter 3/webstore/pom.xml;springmvc-beginners-guide/Chapter 4/webstore/pom.xml;springmvc-beginners-guide/Chapter 5/webstore/pom.xml;springmvc-beginners-guide/Chapter 6/webstore/pom.xml;springmvc-beginners-guide/Chapter 7/webstore/pom.xml;springmvc-beginners-guide/Chapter 8/webstore/pom.xml;springmvc-beginners-guide/Chapter 9/Tiles/webstore/pom.xml;springmvc-beginners-guide/Chapter 9/webflow/webstore/pom.xml;springmvc-rest-helloworld/pom.xml;springmvc-springdata-mongodb/pom.xml;workflow-activiti-example/pom.xml;workflow-activiti-example/spring-activiti-webapp/pom.xml;workflow-activiti-example/workflow-activiti-springmvc-example/pom.xml;xml-tutorials/pom.xml;xml-tutorials/xml-2-properties/pom.xml;xml-tutorials/xml-dom-example/pom.xml;xml-tutorials/xml-jaxb-example/pom.xml;xml-tutorials/xml-jdom-example/pom.xml;xml-tutorials/xml-sax-example/pom.xml;xml-tutorials/xml-stax-example/pom.xml;xml-tutorials/xml-xmlpull-example/pom.xml;xml-tutorials/xml-xom-example/pom.xml;xml-tutorials/xml-xstream-example/pom.xml;,spring3-mvc-simple/build.gradle;springmvc-beginners-guide/Appendix/code/webstore/build.gradle;,.travis.yml;,,,mvn-project-demo/pom.xml;mvn-project-demo/user-dao/pom.xml;mvn-project-demo/user-model/pom.xml;mvn-project-demo/user-service/pom.xml;mvn-project-demo/user-web/pom.xml;pom.xml;,mvn-project-demo/pom.xml;mvn-project-demo/user-dao/pom.xml;mvn-project-demo/user-model/pom.xml;mvn-project-demo/user-service/pom.xml;mvn-project-demo/user-web/pom.xml;pom.xml;,,,,,,,,,,,
https://github.com/codepath/android-rottentomatoes-demo,,build.gradle;,,,,,,,,,,,,,,,,
https://github.com/michaelliao/learn-sql,mysql/java/pom.xml;,,,,,,,,,,,,,,,,,
https://github.com/itext/itext7,barcodes/pom.xml;commons/pom.xml;font-asian/pom.xml;forms/pom.xml;hyph/pom.xml;io/pom.xml;itextcore/pom.xml;kernel/pom.xml;layout/pom.xml;pdfa/pom.xml;pdftest/pom.xml;pom.xml;sign/pom.xml;styled-xml-parser/pom.xml;svg/pom.xml;,,,,pom.xml;,,font-asian/pom.xml;hyph/pom.xml;pom.xml;,,,,,,,,,,,
