name,link,Maven,Gradle,Travis CI,Github Actions
joelittlejohn/jsonschema2pojo,https://github.com/joelittlejohn/jsonschema2pojo,Yes,No,No,Skipped
googlearchive/android-Camera2Basic,https://github.com/googlearchive/android-Camera2Basic,No,Yes,No,No
emilsjolander/StickyListHeaders,https://github.com/emilsjolander/StickyListHeaders,No,Yes,No,No
stylefeng/Guns,https://github.com/stylefeng/Guns,Yes,No,No,No
saysky/ForestBlog,https://github.com/saysky/ForestBlog,No,No,No,No
wildfirechat/im-server,https://github.com/wildfirechat/im-server,Yes,No,Yes,No
yangfuhai/afinal,https://github.com/yangfuhai/afinal,No,No,No,No
processing/processing,https://github.com/processing/processing,No,No,No,lock.yml;
liquibase/liquibase,https://github.com/liquibase/liquibase,Yes,No,No,Skipped
googlemaps/android-maps-utils,https://github.com/googlemaps/android-maps-utils,No,Yes,No,Skipped
azkaban/azkaban,https://github.com/azkaban/azkaban,No,Yes,Yes,No
sofastack/sofa-jarslink,https://github.com/sofastack/sofa-jarslink,Yes,No,Yes,No
algorithmzuo/algorithmbasic2020,https://github.com/algorithmzuo/algorithmbasic2020,No,No,No,No
how2j/hellogit,https://github.com/how2j/hellogit,No,No,No,No
todoroo/astrid,https://github.com/todoroo/astrid,No,No,No,No
google/physical-web,https://github.com/google/physical-web,No,No,Yes,No
yidao620c/SpringBootBucket,https://github.com/yidao620c/SpringBootBucket,No,No,No,No
Raysmond/SpringBlog,https://github.com/Raysmond/SpringBlog,No,Yes,No,No
shuleisanshi/myblog,https://github.com/shuleisanshi/myblog,Yes,No,No,No
LaunchCodeEducation/java-web-dev-techjobs-mvc,https://github.com/LaunchCodeEducation/java-web-dev-techjobs-mvc,No,Yes,No,No
SamPriyadarshi/addressbook,https://github.com/SamPriyadarshi/addressbook,Yes,No,No,No
dicodingacademy/a51-android-pemula-labs,https://github.com/dicodingacademy/a51-android-pemula-labs,No,No,No,No
JeffLi1993/java-core-learning-example,https://github.com/JeffLi1993/java-core-learning-example,Yes,No,No,No
zcweng/ToggleButton,https://github.com/zcweng/ToggleButton,No,Yes,No,No
mercyblitz/tech-weekly,https://github.com/mercyblitz/tech-weekly,No,No,No,No
javamelody/javamelody,https://github.com/javamelody/javamelody,Yes,No,Yes,No
kliakos/sparkjava-war-example,https://github.com/kliakos/sparkjava-war-example,Yes,No,No,No
super30admin/Linked-List-2,https://github.com/super30admin/Linked-List-2,No,No,No,No
evollu/react-native-fcm,https://github.com/evollu/react-native-fcm,No,No,No,No
tiann/epic,https://github.com/tiann/epic,No,Yes,No,android.yml;
YahooArchive/anthelion,https://github.com/YahooArchive/anthelion,No,No,No,No
in28minutes/SpringBootForBeginners,https://github.com/in28minutes/SpringBootForBeginners,Yes,No,No,No
jenkinsci/email-ext-plugin,https://github.com/jenkinsci/email-ext-plugin,Yes,No,No,Skipped
trojan-gfw/igniter,https://github.com/trojan-gfw/igniter,No,Yes,No,No
lyrric/seckill,https://github.com/lyrric/seckill,Yes,No,No,No
joonspoon/madecraft-oop,https://github.com/joonspoon/madecraft-oop,No,No,No,No
aurelhubert/ahbottomnavigation,https://github.com/aurelhubert/ahbottomnavigation,No,Yes,No,No
Prof-Calebe/Source-Code-Inspection,https://github.com/Prof-Calebe/Source-Code-Inspection,No,No,Yes,No
guolindev/giffun,https://github.com/guolindev/giffun,No,Yes,No,No
grantland/android-autofittextview,https://github.com/grantland/android-autofittextview,No,Yes,No,No
winder/Universal-G-Code-Sender,https://github.com/winder/Universal-G-Code-Sender,Yes,No,Yes,No
Tencent/Shadow,https://github.com/Tencent/Shadow,No,Yes,No,Skipped
LandmarkTechnology/maven-web-application,https://github.com/LandmarkTechnology/maven-web-application,Yes,No,No,No
fyhertz/libstreaming,https://github.com/fyhertz/libstreaming,Yes,No,No,No
guoguibing/librec,https://github.com/guoguibing/librec,Yes,No,No,No
huanzi-qch/base-admin,https://github.com/huanzi-qch/base-admin,Yes,No,No,No
udacity/Android_Me,https://github.com/udacity/Android_Me,No,Yes,No,No
jetlinks/jetlinks-community,https://github.com/jetlinks/jetlinks-community,Yes,No,No,Skipped
crazycodeboy/react-native-splash-screen,https://github.com/crazycodeboy/react-native-splash-screen,No,No,No,No
googleapis/google-cloud-java,https://github.com/googleapis/google-cloud-java,Yes,No,No,readme.yaml;
dreamhead/moco,https://github.com/dreamhead/moco,No,Yes,Yes,No
thinkaurelius/titan,https://github.com/thinkaurelius/titan,Yes,No,No,No
LandGrey/SpringBootVulExploit,https://github.com/LandGrey/SpringBootVulExploit,No,No,No,No
yipianfengye/android-zxingLibrary,https://github.com/yipianfengye/android-zxingLibrary,No,Yes,No,No
DesignativeDave/androrat,https://github.com/DesignativeDave/androrat,No,No,No,No
SpigotMC/BungeeCord,https://github.com/SpigotMC/BungeeCord,Yes,No,No,maven.yml;
spring-projects/spring-session,https://github.com/spring-projects/spring-session,No,Yes,No,Skipped
jackpal/Android-Terminal-Emulator,https://github.com/jackpal/Android-Terminal-Emulator,No,Yes,No,No
se-edu/addressbook-level25,https://github.com/se-edu/addressbook-level25,No,Yes,Yes,No
apache/fineract,https://github.com/apache/fineract,No,Yes,No,Skipped
reactor/reactor-core,https://github.com/reactor/reactor-core,No,Yes,No,Skipped
confluentinc/kafka-streams-examples,https://github.com/confluentinc/kafka-streams-examples,Yes,No,No,No
graphql-java/graphql-java,https://github.com/graphql-java/graphql-java,No,Yes,No,Skipped
castorflex/SmoothProgressBar,https://github.com/castorflex/SmoothProgressBar,No,Yes,Yes,No
bingoogolapple/BGARefreshLayout-Android,https://github.com/bingoogolapple/BGARefreshLayout-Android,No,Yes,No,No
Konloch/bytecode-viewer,https://github.com/Konloch/bytecode-viewer,Yes,No,No,maven.yml;
microservices-patterns/ftgo-application,https://github.com/microservices-patterns/ftgo-application,No,Yes,No,No
geotools/geotools,https://github.com/geotools/geotools,Yes,No,No,Skipped
jiangqqlmj/FastDev4Android,https://github.com/jiangqqlmj/FastDev4Android,No,Yes,No,No
JesusFreke/smali,https://github.com/JesusFreke/smali,No,Yes,No,No
wcaquinocursos/tasks-backend,https://github.com/wcaquinocursos/tasks-backend,Yes,No,No,No
jiangqqlmj/FastDev4Android,https://github.com/jiangqqlmj/FastDev4Android,No,Yes,No,No
JesusFreke/smali,https://github.com/JesusFreke/smali,No,Yes,No,No
wcaquinocursos/tasks-backend,https://github.com/wcaquinocursos/tasks-backend,Yes,No,No,No
magnayn/Hudson-GIT-plugin,https://github.com/magnayn/Hudson-GIT-plugin,Yes,No,No,No
avjinder/Minimal-Todo,https://github.com/avjinder/Minimal-Todo,No,Yes,Yes,No
itwanger/JavaBooks,https://github.com/itwanger/JavaBooks,No,No,No,No
playgameservices/android-basic-samples,https://github.com/playgameservices/android-basic-samples,No,Yes,No,No
SpringCloud/spring-cloud-code,https://github.com/SpringCloud/spring-cloud-code,Yes,No,No,No
Meituan-Dianping/walle,https://github.com/Meituan-Dianping/walle,No,Yes,No,No
LaunchCodeEducation/cheese-mvc-persistent,https://github.com/LaunchCodeEducation/cheese-mvc-persistent,No,Yes,No,No
ximsfei/Android-skin-support,https://github.com/ximsfei/Android-skin-support,No,Yes,No,No
android/connectivity-samples,https://github.com/android/connectivity-samples,No,No,No,Skipped
chrisbanes/ActionBar-PullToRefresh,https://github.com/chrisbanes/ActionBar-PullToRefresh,No,Yes,No,No
smeise/Sunshine,https://github.com/smeise/Sunshine,No,Yes,No,No
confluentinc/schema-registry,https://github.com/confluentinc/schema-registry,Yes,No,No,No
niuxdexiaobai/Meizhi,https://github.com/niuxdexiaobai/Meizhi,No,Yes,No,No
mercyblitz/segmentfault-lessons,https://github.com/mercyblitz/segmentfault-lessons,No,No,No,No
spring-projects/spring-data-redis,https://github.com/spring-projects/spring-data-redis,Yes,No,No,project.yml;
habuma/spring-in-action-5-samples,https://github.com/habuma/spring-in-action-5-samples,No,No,No,No
callicoder/spring-security-react-ant-design-polls-app,https://github.com/callicoder/spring-security-react-ant-design-polls-app,No,No,No,No
seven332/EhViewer,https://github.com/seven332/EhViewer,No,Yes,No,No
techGay/v9porn,https://github.com/techGay/v9porn,No,Yes,No,android.yml;
daticahealth/java-tomcat-maven-example,https://github.com/daticahealth/java-tomcat-maven-example,Yes,No,No,No
nsdown/ZhihuDailyPurify,https://github.com/nsdown/ZhihuDailyPurify,No,Yes,No,No
hazelybell/lonelyTwitter,https://github.com/hazelybell/lonelyTwitter,No,Yes,No,No
caelum/fj22-ingressos,https://github.com/caelum/fj22-ingressos,Yes,No,No,No
jglick/simple-maven-project-with-tests,https://github.com/jglick/simple-maven-project-with-tests,Yes,No,No,No
stacktipslab/Android-UI-Tutorials,https://github.com/stacktipslab/Android-UI-Tutorials,No,No,No,No
wdullaer/MaterialDateTimePicker,https://github.com/wdullaer/MaterialDateTimePicker,No,Yes,Yes,No
spring-projects/spring-integration,https://github.com/spring-projects/spring-integration,No,Yes,No,Skipped
killbill/killbill,https://github.com/killbill/killbill,Yes,No,No,Skipped
raphw/byte-buddy,https://github.com/raphw/byte-buddy,Yes,No,No,main.yml;
SlimeKnights/TinkersConstruct,https://github.com/SlimeKnights/TinkersConstruct,No,Yes,No,No
killme2008/aviatorscript,https://github.com/killme2008/aviatorscript,Yes,No,Yes,No
gcacace/android-signaturepad,https://github.com/gcacace/android-signaturepad,No,Yes,No,No
cryptomator/cryptomator,https://github.com/cryptomator/cryptomator,Yes,No,No,Skipped
anitaa1990/Android-Cheat-sheet,https://github.com/anitaa1990/Android-Cheat-sheet,No,No,No,No
Prototik/HoloEverywhere,https://github.com/Prototik/HoloEverywhere,Yes,Yes,Yes,No
leechenxiang/imooc-springboot-starter,https://github.com/leechenxiang/imooc-springboot-starter,Yes,No,No,No
amulyakhare/TextDrawable,https://github.com/amulyakhare/TextDrawable,No,Yes,No,No
magefree/mage,https://github.com/magefree/mage,Yes,No,Yes,mtg-fetch-cards.yml;
megagao/production_ssm,https://github.com/megagao/production_ssm,Yes,No,No,No
hmkcode/Spring-Framework,https://github.com/hmkcode/Spring-Framework,No,No,No,No
douglascraigschmidt/LiveLessons,https://github.com/douglascraigschmidt/LiveLessons,No,No,No,No
floodlight/floodlight,https://github.com/floodlight/floodlight,Yes,No,Yes,No
harism/android-pagecurl,https://github.com/harism/android-pagecurl,No,No,No,No
CJRivas/jenkinspipeline,https://github.com/CJRivas/jenkinspipeline,Yes,No,No,No
cs125-illinois/Spring-2018-Lab5,https://github.com/cs125-illinois/Spring-2018-Lab5,No,Yes,No,No
rchidana/mvnwebapp,https://github.com/rchidana/mvnwebapp,Yes,No,No,maven.yml;
jenkinsci/ghprb-plugin,https://github.com/jenkinsci/ghprb-plugin,Yes,No,No,No
bmelnychuk/AndroidTreeView,https://github.com/bmelnychuk/AndroidTreeView,No,Yes,No,No
kiritbasu/datacollector,https://github.com/kiritbasu/datacollector,Yes,No,No,No
Flipboard/bottomsheet,https://github.com/Flipboard/bottomsheet,No,Yes,Yes,No
oschina/android-app,https://github.com/oschina/android-app,No,No,No,No
zhegexiaohuozi/SeimiCrawler,https://github.com/zhegexiaohuozi/SeimiCrawler,Yes,No,No,No
DreamOfTheRedChamber/system-design-interviews,https://github.com/DreamOfTheRedChamber/system-design-interviews,No,No,No,No
googlearchive/android-BluetoothLeGatt,https://github.com/googlearchive/android-BluetoothLeGatt,No,Yes,No,No
yzcheng90/X-SpringBoot,https://github.com/yzcheng90/X-SpringBoot,Yes,No,No,No
adobe/aem-core-wcm-components,https://github.com/adobe/aem-core-wcm-components,Yes,No,No,Skipped
zhou-you/RxEasyHttp,https://github.com/zhou-you/RxEasyHttp,No,Yes,No,No
bephrem1/backtobackswe,https://github.com/bephrem1/backtobackswe,No,No,No,No
alibaba/mdrill,https://github.com/alibaba/mdrill,No,No,No,No
android/animation-samples,https://github.com/android/animation-samples,No,No,No,Skipped
hacktoberfest17/programming,https://github.com/hacktoberfest17/programming,No,No,No,No
wymsee/cordova-imagePicker,https://github.com/wymsee/cordova-imagePicker,No,No,No,No
GDG-Korea/PinterestLikeAdapterView,https://github.com/GDG-Korea/PinterestLikeAdapterView,No,Yes,Yes,No
next-step/java-baseball-precourse,https://github.com/next-step/java-baseball-precourse,No,Yes,No,No
LaunchCodeEducation/coding-events-demo,https://github.com/LaunchCodeEducation/coding-events-demo,No,Yes,No,No
kenken64/StackAnnotation,https://github.com/kenken64/StackAnnotation,No,No,No,No
rcpoison/jgrapht,https://github.com/rcpoison/jgrapht,Yes,No,No,No
timehop/sticky-headers-recyclerview,https://github.com/timehop/sticky-headers-recyclerview,No,Yes,No,No
JavaCourse00/JavaCourseCodes,https://github.com/JavaCourse00/JavaCourseCodes,No,No,No,No
springframeworkguru/tdd-by-example,https://github.com/springframeworkguru/tdd-by-example,Yes,No,No,No
actorapp/actor-platform,https://github.com/actorapp/actor-platform,No,Yes,Yes,No
huaban/jieba-analysis,https://github.com/huaban/jieba-analysis,Yes,No,No,No
mitreid-connect/OpenID-Connect-Java-Spring-Server,https://github.com/mitreid-connect/OpenID-Connect-Java-Spring-Server,Yes,No,Yes,No
HouariZegai/Calculator,https://github.com/HouariZegai/Calculator,Yes,No,No,No
yarolegovich/DiscreteScrollView,https://github.com/yarolegovich/DiscreteScrollView,No,Yes,No,No
wildfirechat/android-chat,https://github.com/wildfirechat/android-chat,No,Yes,No,No
EhsanTang/ApiManager,https://github.com/EhsanTang/ApiManager,No,No,No,No
scmgalaxy/helloworld-java-maven,https://github.com/scmgalaxy/helloworld-java-maven,Yes,No,No,No
javadevjournal/javadevjournal,https://github.com/javadevjournal/javadevjournal,No,No,No,codeql-analysis.yml;
doublechaintech/scm-biz-suite,https://github.com/doublechaintech/scm-biz-suite,No,No,No,No
nathanmarz/storm-starter,https://github.com/nathanmarz/storm-starter,No,No,No,No
beefe/react-native-picker,https://github.com/beefe/react-native-picker,No,No,No,No
moquette-io/moquette,https://github.com/moquette-io/moquette,Yes,No,No,Skipped
LaunchCodeEducation/java-web-dev-techjobs-oo,https://github.com/LaunchCodeEducation/java-web-dev-techjobs-oo,No,No,No,No
NiceSeason/gulimall-learning,https://github.com/NiceSeason/gulimall-learning,Yes,No,No,No
Atmosphere/atmosphere,https://github.com/Atmosphere/atmosphere,Yes,No,No,Skipped
apache/servicecomb-java-chassis,https://github.com/apache/servicecomb-java-chassis,Yes,No,No,Skipped
dinuscxj/LoadingDrawable,https://github.com/dinuscxj/LoadingDrawable,No,Yes,No,No
vaadin/addressbook,https://github.com/vaadin/addressbook,Yes,No,No,No
MiguelCatalan/MaterialSearchView,https://github.com/MiguelCatalan/MaterialSearchView,No,Yes,No,No
yanbober/Android-Blog-Source,https://github.com/yanbober/Android-Blog-Source,No,No,No,No
RyanFehr/HackerRank,https://github.com/RyanFehr/HackerRank,No,No,No,No
spring2go/oauth2lab,https://github.com/spring2go/oauth2lab,No,No,No,No
binIoter/GuideView,https://github.com/binIoter/GuideView,No,Yes,No,No
abel533/Mybatis-Spring,https://github.com/abel533/Mybatis-Spring,Yes,No,No,No
meefik/linuxdeploy,https://github.com/meefik/linuxdeploy,No,Yes,No,No
killbill/killbill,https://github.com/killbill/killbill,Yes,No,No,Skipped
raphw/byte-buddy,https://github.com/raphw/byte-buddy,Yes,No,No,main.yml;
SlimeKnights/TinkersConstruct,https://github.com/SlimeKnights/TinkersConstruct,No,Yes,No,No
killme2008/aviatorscript,https://github.com/killme2008/aviatorscript,Yes,No,Yes,No
gcacace/android-signaturepad,https://github.com/gcacace/android-signaturepad,No,Yes,No,No
cryptomator/cryptomator,https://github.com/cryptomator/cryptomator,Yes,No,No,Skipped
anitaa1990/Android-Cheat-sheet,https://github.com/anitaa1990/Android-Cheat-sheet,No,No,No,No
Prototik/HoloEverywhere,https://github.com/Prototik/HoloEverywhere,Yes,Yes,Yes,No
leechenxiang/imooc-springboot-starter,https://github.com/leechenxiang/imooc-springboot-starter,Yes,No,No,No
Swati4star/Images-to-PDF,https://github.com/Swati4star/Images-to-PDF,No,Yes,Yes,No
amulyakhare/TextDrawable,https://github.com/amulyakhare/TextDrawable,No,Yes,No,No
magefree/mage,https://github.com/magefree/mage,Yes,No,Yes,mtg-fetch-cards.yml;
in28minutes/jpa-with-hibernate,https://github.com/in28minutes/jpa-with-hibernate,No,No,No,No
megagao/production_ssm,https://github.com/megagao/production_ssm,Yes,No,No,No
hmkcode/Spring-Framework,https://github.com/hmkcode/Spring-Framework,No,No,No,No
douglascraigschmidt/LiveLessons,https://github.com/douglascraigschmidt/LiveLessons,No,No,No,No
PowerJob/PowerJob,https://github.com/PowerJob/PowerJob,Yes,No,No,Skipped
floodlight/floodlight,https://github.com/floodlight/floodlight,Yes,No,Yes,No
harism/android-pagecurl,https://github.com/harism/android-pagecurl,No,No,No,No
CJRivas/jenkinspipeline,https://github.com/CJRivas/jenkinspipeline,Yes,No,No,No
cs125-illinois/Spring-2018-Lab5,https://github.com/cs125-illinois/Spring-2018-Lab5,No,Yes,No,No
redsolution/xabber-android,https://github.com/redsolution/xabber-android,No,Yes,Yes,No
liuyubobobo/Play-with-Data-Structures,https://github.com/liuyubobobo/Play-with-Data-Structures,No,No,No,No
rockerhieu/emojicon,https://github.com/rockerhieu/emojicon,No,Yes,No,No
super30admin/Array-2,https://github.com/super30admin/Array-2,No,No,No,No
natario1/CameraView,https://github.com/natario1/CameraView,No,No,No,Skipped
commonsguy/cw-android,https://github.com/commonsguy/cw-android,No,No,No,No
baoyachi/StepView,https://github.com/baoyachi/StepView,No,Yes,No,No
vector4wang/spring-boot-quick,https://github.com/vector4wang/spring-boot-quick,Yes,No,Yes,github2gitee.yml;
super30admin/DP-2,https://github.com/super30admin/DP-2,No,No,No,No
fluttercommunity/flutter_webview_plugin,https://github.com/fluttercommunity/flutter_webview_plugin,No,No,No,Skipped
lovetuzitong/MultiImageSelector,https://github.com/lovetuzitong/MultiImageSelector,No,Yes,No,No
eclipse-archived/smarthome,https://github.com/eclipse-archived/smarthome,Yes,No,Yes,No
rememberber/WePush,https://github.com/rememberber/WePush,Yes,No,Yes,No
Trinea/android-demo,https://github.com/Trinea/android-demo,No,No,No,No
apache/httpcomponents-client,https://github.com/apache/httpcomponents-client,Yes,No,Yes,Skipped
fossasia/pslab-android,https://github.com/fossasia/pslab-android,No,Yes,No,Skipped
linkedin/dr-elephant,https://github.com/linkedin/dr-elephant,No,No,Yes,No
y35uishere/apache-log4j-poc,https://github.com/y35uishere/apache-log4j-poc,Yes,No,No,No
pcdavies/TwitterFeed,https://github.com/pcdavies/TwitterFeed,Yes,No,No,No
dkim0419/SoundRecorder,https://github.com/dkim0419/SoundRecorder,No,Yes,No,No
hanks-zyh/HTextView,https://github.com/hanks-zyh/HTextView,No,Yes,No,No
Marswin/MarsDaemon,https://github.com/Marswin/MarsDaemon,No,Yes,No,No
eirslett/frontend-maven-plugin,https://github.com/eirslett/frontend-maven-plugin,Yes,No,No,main.yml;
stfalcon-studio/ChatKit,https://github.com/stfalcon-studio/ChatKit,No,Yes,No,No
jabedhasan21/java-hello-world-with-maven,https://github.com/jabedhasan21/java-hello-world-with-maven,Yes,No,No,No
jjoe64/GraphView,https://github.com/jjoe64/GraphView,No,Yes,No,No
lizhangqu/CoreLink,https://github.com/lizhangqu/CoreLink,No,No,No,No
LandmarkTechnology/maven-standalone-application,https://github.com/LandmarkTechnology/maven-standalone-application,Yes,No,No,No
ihrupin/samples,https://github.com/ihrupin/samples,No,No,No,No
cloudfoundry/uaa,https://github.com/cloudfoundry/uaa,No,Yes,No,Skipped
Arronlong/httpclientutil,https://github.com/Arronlong/httpclientutil,Yes,No,No,No
mercyblitz/thinking-in-spring-boot-samples,https://github.com/mercyblitz/thinking-in-spring-boot-samples,Yes,No,No,No
SplashCodes/JAViewer,https://github.com/SplashCodes/JAViewer,No,Yes,No,No
kabouzeid/Phonograph,https://github.com/kabouzeid/Phonograph,No,Yes,No,No
spring-cloud/spring-cloud-sleuth,https://github.com/spring-cloud/spring-cloud-sleuth,Yes,No,No,Skipped
caoxinyu/RedisClient,https://github.com/caoxinyu/RedisClient,Yes,No,No,No
joaopsilva/binance-java-api,https://github.com/joaopsilva/binance-java-api,Yes,No,No,No
WVector/AppUpdate,https://github.com/WVector/AppUpdate,No,Yes,No,No
xuxueli/xxl-sso,https://github.com/xuxueli/xxl-sso,Yes,No,No,maven.yml;
andremion/Music-Player,https://github.com/andremion/Music-Player,No,Yes,No,No
decaywood/XueQiuSuperSpider,https://github.com/decaywood/XueQiuSuperSpider,Yes,No,No,No
kenken64/StackAnnotationMaven,https://github.com/kenken64/StackAnnotationMaven,Yes,No,No,No
FudanNLP/fnlp,https://github.com/FudanNLP/fnlp,Yes,No,No,No
spring-projects/spring-restdocs,https://github.com/spring-projects/spring-restdocs,No,Yes,No,No
coobird/thumbnailator,https://github.com/coobird/thumbnailator,Yes,No,No,No
leafgray/pysonar2,https://github.com/leafgray/pysonar2,No,No,No,No
mybatis/jpetstore-6,https://github.com/mybatis/jpetstore-6,Yes,No,No,Skipped
LaunchCodeEducation/java-web-dev-studio7,https://github.com/LaunchCodeEducation/java-web-dev-studio7,No,No,No,No
BruceEckel/OnJava8-Examples,https://github.com/BruceEckel/OnJava8-Examples,No,Yes,No,No
codingXiaxw/CustomerManagement,https://github.com/codingXiaxw/CustomerManagement,No,No,No,No
xinghongfei/LookLook,https://github.com/xinghongfei/LookLook,No,Yes,No,No
pakerfeldt/android-viewflow,https://github.com/pakerfeldt/android-viewflow,No,No,No,No
BaReinhard/Hacktoberfest-Data-Structure-and-Algorithms,https://github.com/BaReinhard/Hacktoberfest-Data-Structure-and-Algorithms,No,No,No,No
fleetman-ci-cd-demo/fleetman-api-gateway,https://github.com/fleetman-ci-cd-demo/fleetman-api-gateway,Yes,No,No,No
razerdp/BasePopup,https://github.com/razerdp/BasePopup,Yes,Yes,No,No
apache/shardingsphere-example,https://github.com/apache/shardingsphere-example,Yes,No,No,No
opennetworkinglab/onos,https://github.com/opennetworkinglab/onos,No,No,No,No
QuickBlox/quickblox-android-sdk,https://github.com/QuickBlox/quickblox-android-sdk,No,No,No,No
super30admin/DP-3,https://github.com/super30admin/DP-3,No,No,No,No
nitaliano/react-native-mapbox-gl,https://github.com/nitaliano/react-native-mapbox-gl,No,No,No,No
yangchong211/YCVideoPlayer,https://github.com/yangchong211/YCVideoPlayer,No,Yes,No,No
codepath/android-debugging-challenges,https://github.com/codepath/android-debugging-challenges,No,Yes,Yes,No
mate-academy/jv-hash-map,https://github.com/mate-academy/jv-hash-map,Yes,No,No,ci.yml;
k1ngzo/RS-2009,https://github.com/k1ngzo/RS-2009,No,No,No,No
PraktikumJava/m1-t12-debug,https://github.com/PraktikumJava/m1-t12-debug,No,No,No,No
gardncl/elements-of-programming-interviews,https://github.com/gardncl/elements-of-programming-interviews,Yes,No,Yes,No
Comcast/FreeFlow,https://github.com/Comcast/FreeFlow,No,Yes,No,No
mimminito/cardsui-for-android,https://github.com/mimminito/cardsui-for-android,No,No,No,No
robovm/robovm,https://github.com/robovm/robovm,Yes,No,No,No
githubwing/ZoomHeader,https://github.com/githubwing/ZoomHeader,No,Yes,No,No
maoruibin/TranslateApp,https://github.com/maoruibin/TranslateApp,No,Yes,Yes,No
airbnb/DeepLinkDispatch,https://github.com/airbnb/DeepLinkDispatch,No,Yes,No,Skipped
googlearchive/AndroidChat,https://github.com/googlearchive/AndroidChat,No,Yes,No,No
tyzlmjj/PagerBottomTabStrip,https://github.com/tyzlmjj/PagerBottomTabStrip,No,Yes,No,No
gaussic/SpringMVCDemo,https://github.com/gaussic/SpringMVCDemo,Yes,No,No,No
RomanTruba/AndroidTouchGallery,https://github.com/RomanTruba/AndroidTouchGallery,No,No,No,No
seeditsolution/javaprogram,https://github.com/seeditsolution/javaprogram,No,No,No,No
AnyListen/tools-ocr,https://github.com/AnyListen/tools-ocr,Yes,No,No,No
kovyrin/hbase,https://github.com/kovyrin/hbase,Yes,No,No,No
keklikhasan/LDrawer,https://github.com/keklikhasan/LDrawer,No,Yes,No,No
TTFHW/jenkins_pipeline_java_maven,https://github.com/TTFHW/jenkins_pipeline_java_maven,Yes,No,No,No
springframeworkguru/sfg-restdocs-example,https://github.com/springframeworkguru/sfg-restdocs-example,Yes,No,No,No
super30admin/Stack-1,https://github.com/super30admin/Stack-1,No,No,No,No
OpenClassrooms-Student-Center/Project_DA_Java_EN_Come_to_the_Rescue_of_a_Java_Application,https://github.com/OpenClassrooms-Student-Center/Project_DA_Java_EN_Come_to_the_Rescue_of_a_Java_Application,No,No,No,No
limedroid/XDroidMvp,https://github.com/limedroid/XDroidMvp,No,Yes,No,No
xiaoyuzdy/learnAndroid,https://github.com/xiaoyuzdy/learnAndroid,No,No,No,No
HotswapProjects/HotswapAgent,https://github.com/HotswapProjects/HotswapAgent,Yes,No,Yes,No
crazyqiang/AndroidStudy,https://github.com/crazyqiang/AndroidStudy,No,Yes,No,No
Multibit-Legacy/multibit,https://github.com/Multibit-Legacy/multibit,Yes,No,Yes,No
cs125-illinois/Fall-2018-Lab4,https://github.com/cs125-illinois/Fall-2018-Lab4,No,Yes,No,No
CainKernel/CainCamera,https://github.com/CainKernel/CainCamera,No,Yes,No,No
Java-aid/Hackerrank-Solutions,https://github.com/Java-aid/Hackerrank-Solutions,No,No,No,No
prometheus/client_java,https://github.com/prometheus/client_java,Yes,No,No,No
wuyinxian124/nettybook2,https://github.com/wuyinxian124/nettybook2,Yes,No,No,No
google/error-prone,https://github.com/google/error-prone,Yes,No,No,Skipped
playframework/play1,https://github.com/playframework/play1,No,No,No,build-test.yml;
DingMouRen/LayoutManagerGroup,https://github.com/DingMouRen/LayoutManagerGroup,No,Yes,No,No
fleetman-ci-cd-demo/fleetman-position-tracker,https://github.com/fleetman-ci-cd-demo/fleetman-position-tracker,Yes,No,No,No
ysc/word,https://github.com/ysc/word,Yes,No,Yes,No
novoda/android-demos,https://github.com/novoda/android-demos,No,Yes,No,No
lcodecorex/TwinklingRefreshLayout,https://github.com/lcodecorex/TwinklingRefreshLayout,No,Yes,No,No
ngbdf/redis-manager,https://github.com/ngbdf/redis-manager,No,No,No,No
xuexiangjys/XUI,https://github.com/xuexiangjys/XUI,No,Yes,No,No
j4velin/Pedometer,https://github.com/j4velin/Pedometer,No,Yes,Yes,No
sunfusheng/MarqueeView,https://github.com/sunfusheng/MarqueeView,No,Yes,Yes,No
notnoop/java-apns,https://github.com/notnoop/java-apns,Yes,No,Yes,No
CatVodTVOfficial/TVBoxOSC,https://github.com/CatVodTVOfficial/TVBoxOSC,No,Yes,No,test.yml;
yui/yuicompressor,https://github.com/yui/yuicompressor,No,No,Yes,No
oracle/opengrok,https://github.com/oracle/opengrok,Yes,No,No,Skipped
Jacksgong/JKeyboardPanelSwitch,https://github.com/Jacksgong/JKeyboardPanelSwitch,No,Yes,Yes,No
Rukey7/MvpApp,https://github.com/Rukey7/MvpApp,No,Yes,No,No
JulienGenoud/android-percent-support-lib-sample,https://github.com/JulienGenoud/android-percent-support-lib-sample,No,Yes,No,No
qunarcorp/qmq,https://github.com/qunarcorp/qmq,Yes,No,No,No
fleetman-ci-cd-demo/fleetman-position-simulator,https://github.com/fleetman-ci-cd-demo/fleetman-position-simulator,Yes,No,No,No
googlearchive/android-BluetoothChat,https://github.com/googlearchive/android-BluetoothChat,No,Yes,No,No
ata4/disunity,https://github.com/ata4/disunity,Yes,No,No,No
x-ream/rey,https://github.com/x-ream/rey,Yes,No,No,No
zwwill/yanxuan-weex-demo,https://github.com/zwwill/yanxuan-weex-demo,No,No,No,No
Fuzion24/JustTrustMe,https://github.com/Fuzion24/JustTrustMe,No,Yes,No,No
tomoya92/pybbs,https://github.com/tomoya92/pybbs,Yes,No,No,generator_docs.yml;
